3-2_(3É–-3É–)3É–AdditionalRequirementTable_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,0,0,0,0,118,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,21,0,0,0Å`10%,0,0,31,34,37,40,0,0,0Å`10%,0,0,18,27,36,148,0,0,0Å`10%,0,0,5,21,37,148,0,0,0Å`10%,0,0,178,156,134,161,0,0,0Å`10%,0,0,183,163,144,124,0,0,0Å`10%,0,0,185,164,143,122,0,0
10Å`20%,0,0,0,0,0,87,0,0,10Å`20%,0,0,21,22,22,22,0,0,10Å`20%,0,0,17,14,11,7,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,0,0,85,45,13,0,10Å`20%,0,0,0,0,85,64,0,0,10Å`20%,0,0,36,47,86,75,0,0,10Å`20%,0,0,34,29,73,117,0,0,10Å`20%,0,0,80,87,95,103,0,0,10Å`20%,0,0,81,66,94,122,29,11,10Å`20%,0,0,148,149,149,82,0,0,10Å`20%,0,0,120,163,172,101,0,0
20Å`30%,0,0,0,0,0,55,0,0,20Å`30%,0,0,30,55,55,54,0,0,20Å`30%,0,0,20,15,61,45,0,0,20Å`30%,0,0,0,0,0,0,0,0,20Å`30%,0,0,0,0,157,109,37,0,20Å`30%,0,0,0,0,77,108,0,0,20Å`30%,0,0,41,59,78,109,0,0,20Å`30%,0,0,33,40,48,87,60,8,20Å`30%,0,0,49,66,84,137,86,14,20Å`30%,25,29,79,42,63,149,94,30,20Å`30%,24,28,157,175,155,84,105,49,20Å`30%,0,0,116,162,202,81,2,0
30Å`40%,0,0,0,90,229,87,20,5,30Å`40%,0,0,38,88,87,86,0,0,30Å`40%,0,0,30,138,111,83,0,0,30Å`40%,0,0,9,130,121,86,0,0,30Å`40%,0,0,0,130,182,117,61,19,30Å`40%,18,136,0,127,109,91,80,19,30Å`40%,14,134,82,113,123,133,80,22,30Å`40%,42,52,32,51,71,134,111,84,30Å`40%,1,52,18,45,73,171,135,109,30Å`40%,48,49,77,62,73,176,141,109,30Å`40%,24,86,167,201,236,137,131,103,30Å`40%,0,0,111,161,231,91,94,56
40Å`50%,0,0,0,160,306,208,154,100,40Å`50%,13,20,47,159,279,150,40,0,40Å`50%,0,0,40,158,276,84,53,59,40Å`50%,0,0,50,129,156,100,133,84,40Å`50%,0,2,45,191,208,124,132,76,40Å`50%,10,140,0,179,192,132,125,59,40Å`50%,8,138,123,166,166,124,140,60,40Å`50%,46,55,27,40,139,161,119,103,40Å`50%,40,57,15,57,76,210,172,134,40Å`50%,72,101,75,81,157,234,122,104,40Å`50%,32,124,170,172,282,209,174,135,40Å`50%,32,35,107,161,288,209,162,107
50Å`60%,37,93,22,165,263,321,149,101,50Å`60%,19,29,55,140,239,186,81,0,50Å`60%,0,0,93,192,339,226,91,93,50Å`60%,0,0,50,168,191,214,166,119,50Å`60%,0,5,51,252,276,260,167,118,50Å`60%,8,86,150,232,275,154,170,146,50Å`60%,25,99,164,220,273,156,170,160,50Å`60%,75,80,22,29,183,188,197,127,50Å`60%,145,99,12,69,127,249,208,159,50Å`60%,146,161,73,101,243,256,166,149,50Å`60%,157,162,173,190,302,336,236,157,50Å`60%,39,75,130,205,302,325,236,158
60Å`70%,34,79,153,207,248,289,180,101,60Å`70%,25,39,64,148,221,221,140,118,60Å`70%,0,0,147,225,402,185,94,127,60Å`70%,0,0,63,207,394,193,190,156,60Å`70%,0,8,93,297,395,215,198,172,60Å`70%,40,79,200,218,237,177,284,344,60Å`70%,42,124,206,258,272,172,305,345,60Å`70%,123,115,18,35,226,251,318,359,60Å`70%,155,128,45,96,315,288,260,214,60Å`70%,176,191,121,183,329,279,261,223,60Å`70%,133,192,154,197,288,312,191,129,60Å`70%,76,83,153,249,279,310,229,154
70Å`80%,31,65,112,250,205,255,211,141,70Å`80%,31,48,203,157,203,249,200,219,70Å`80%,0,0,201,318,274,231,156,90,70Å`80%,0,0,247,305,320,235,146,113,70Å`80%,0,11,250,343,295,171,179,64,70Å`80%,72,72,250,226,198,171,214,141,70Å`80%,171,148,247,296,313,212,259,184,70Å`80%,172,149,13,133,244,216,249,185,70Å`80%,184,158,77,122,288,235,221,186,70Å`80%,206,221,168,177,306,263,215,255,70Å`80%,152,221,118,295,274,253,212,151,70Å`80%,115,130,102,294,286,277,222,149
80Å`90%,27,51,71,217,247,267,239,173,80Å`90%,37,57,70,210,232,276,156,128,80Å`90%,37,59,174,197,219,276,161,53,80Å`90%,0,14,259,262,286,278,162,70,80Å`90%,0,13,260,371,195,121,160,37,80Å`90%,105,103,199,390,194,130,198,107,80Å`90%,193,163,126,457,354,252,212,158,80Å`90%,194,209,8,128,263,178,181,160,80Å`90%,110,96,78,151,315,180,182,161,80Å`90%,226,271,163,214,344,152,240,249,80Å`90%,153,272,139,272,314,198,233,173,80Å`90%,153,147,85,269,245,245,234,197
90Å`100%,6,54,0,88,139,280,268,205,90Å`100%,0,0,0,89,184,316,153,37,90Å`100%,16,119,148,135,164,311,151,69,90Å`100%,0,28,271,262,253,287,117,76,90Å`100%,16,29,270,219,167,143,172,56,90Å`100%,137,111,102,105,151,170,182,56,90Å`100%,215,178,5,166,231,169,182,56,90Å`100%,217,240,4,166,230,126,119,107,90Å`100%,82,66,78,189,341,134,119,6,90Å`100%,67,322,159,252,381,133,264,243,90Å`100%,106,323,159,252,353,198,310,244,90Å`100%,7,206,25,101,135,125,310,245
