3-2_(3É–-3É–)3É–ReliableRequirementTable_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,0,52,90,129,167,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,14,0,0,0Å`10%,0,0,0,0,0,57,0,0,0Å`10%,0,0,25,20,15,39,0,0,0Å`10%,0,0,17,21,24,78,0,0,0Å`10%,0,0,77,51,73,96,0,0,0Å`10%,0,0,77,51,98,144,0,0,0Å`10%,0,0,97,110,124,184,0,0,0Å`10%,0,0,3,47,92,183,0,0
10Å`20%,0,0,29,54,80,97,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,43,36,28,36,5,0,10Å`20%,0,0,0,0,0,37,0,0,10Å`20%,0,0,0,0,70,141,0,0,10Å`20%,0,0,0,0,71,142,0,0,10Å`20%,0,0,33,28,73,148,0,0,10Å`20%,0,0,10,7,5,44,0,0,10Å`20%,0,0,113,83,53,71,0,0,10Å`20%,0,0,114,77,76,120,26,7,10Å`20%,0,0,110,84,108,165,11,0,10Å`20%,0,0,59,58,103,142,0,0
20Å`30%,0,0,5,18,127,94,0,0,20Å`30%,0,0,0,0,0,46,0,0,20Å`30%,0,0,43,47,51,49,22,0,20Å`30%,0,0,0,0,32,49,0,0,20Å`30%,0,0,0,0,139,152,12,0,20Å`30%,0,0,0,0,112,110,46,17,20Å`30%,0,0,41,37,75,103,48,26,20Å`30%,0,0,0,11,15,10,75,26,20Å`30%,0,0,150,39,68,98,0,0,20Å`30%,0,0,151,102,54,95,51,50,20Å`30%,8,17,126,108,152,147,101,31,20Å`30%,0,0,28,75,113,101,0,0
30Å`40%,0,0,24,52,174,138,77,42,30Å`40%,0,0,0,0,0,47,0,0,30Å`40%,0,0,42,58,74,85,39,0,30Å`40%,0,0,0,124,184,144,28,0,30Å`40%,0,0,0,125,208,164,28,0,30Å`40%,0,0,0,78,153,77,63,22,30Å`40%,0,0,48,45,78,59,96,61,30Å`40%,0,0,0,14,25,27,104,44,30Å`40%,15,22,0,32,54,125,109,93,30Å`40%,31,35,106,86,101,116,129,93,30Å`40%,43,70,141,169,196,162,154,123,30Å`40%,0,0,15,92,169,146,100,73
40Å`50%,30,146,44,85,283,271,91,64,40Å`50%,0,0,0,0,0,60,22,0,40Å`50%,0,0,41,69,97,131,56,0,40Å`50%,0,0,0,121,160,187,47,0,40Å`50%,5,86,0,96,142,163,68,32,40Å`50%,6,19,0,61,123,102,81,27,40Å`50%,0,2,56,54,80,107,55,11,40Å`50%,0,62,0,18,35,99,72,34,40Å`50%,65,85,0,26,75,203,138,67,40Å`50%,55,85,61,69,136,226,143,68,40Å`50%,38,199,129,171,283,302,156,162,40Å`50%,37,42,39,116,283,286,161,112
50Å`60%,46,107,63,119,253,273,235,85,50Å`60%,22,51,0,0,142,216,25,8,50Å`60%,22,55,40,80,120,224,61,0,50Å`60%,10,100,99,117,175,231,65,0,50Å`60%,0,53,74,68,110,163,44,36,50Å`60%,12,19,62,84,93,143,44,26,50Å`60%,17,50,64,40,86,143,77,35,50Å`60%,112,116,0,22,64,143,40,25,50Å`60%,114,104,0,20,87,257,166,95,50Å`60%,62,110,17,89,171,252,164,42,50Å`60%,49,217,161,173,296,310,261,202,50Å`60%,49,122,63,141,262,341,256,192
60Å`70%,62,68,82,152,264,337,236,147,60Å`70%,18,24,0,0,216,206,96,55,60Å`70%,17,9,32,135,200,226,94,0,60Å`70%,0,61,99,147,189,212,94,42,60Å`70%,0,20,108,117,150,122,90,39,60Å`70%,18,20,121,108,137,167,84,64,60Å`70%,52,44,72,82,92,172,118,64,60Å`70%,99,80,0,25,93,175,50,39,60Å`70%,124,128,0,14,97,147,178,124,60Å`70%,77,159,18,109,200,204,186,81,60Å`70%,60,236,193,250,308,396,292,292,60Å`70%,61,129,88,165,242,396,328,272
70Å`80%,78,101,282,329,275,220,217,243,70Å`80%,13,31,0,191,194,196,157,102,70Å`80%,13,32,67,191,204,228,123,0,70Å`80%,0,58,99,177,213,235,135,42,70Å`80%,0,37,151,193,189,81,83,42,70Å`80%,23,53,67,61,96,131,168,190,70Å`80%,87,81,80,47,87,128,159,172,70Å`80%,110,68,0,116,144,130,208,206,70Å`80%,197,201,0,8,107,140,263,207,70Å`80%,197,298,35,102,176,155,264,120,70Å`80%,198,292,358,370,264,177,279,265,70Å`80%,171,163,354,367,265,162,313,255
80Å`90%,2,21,0,323,260,205,177,151,80Å`90%,9,33,0,193,216,239,218,80,80Å`90%,37,78,101,179,208,281,102,0,80Å`90%,0,53,196,215,236,257,99,67,80Å`90%,0,54,195,223,203,105,117,16,80Å`90%,29,86,55,15,81,96,169,125,80Å`90%,122,118,88,90,135,120,165,117,80Å`90%,122,118,0,120,195,84,180,180,80Å`90%,105,119,0,2,113,132,196,213,80Å`90%,6,202,53,96,139,133,251,141,80Å`90%,120,203,53,335,251,168,266,237,80Å`90%,0,179,56,391,227,150,302,238
90Å`100%,0,0,0,195,246,189,136,58,90Å`100%,0,0,0,195,222,178,133,85,90Å`100%,60,99,167,166,207,152,111,83,90Å`100%,0,50,289,253,217,143,139,91,90Å`100%,0,50,289,253,218,129,164,53,90Å`100%,87,159,83,54,65,113,170,61,90Å`100%,115,140,96,147,197,112,171,61,90Å`100%,115,140,0,0,214,110,2,41,90Å`100%,0,33,0,0,212,0,51,67,90Å`100%,0,53,0,63,69,113,238,256,90Å`100%,42,53,0,62,192,139,292,257,90Å`100%,0,0,0,62,190,138,292,259
ìåñk 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,90,79,69,58,47,79,0,0Å`10%,0,5,21,37,52,68,88,0,0Å`10%,0,0,0,0,0,0,0,47,0Å`10%,0,0,0,0,0,0,24,30,0Å`10%,5,0,0,0,0,0,0,16,0Å`10%,20,0,0,16,41,19,64,47,0Å`10%,0,0,0,244,170,96,23,0,0Å`10%,0,0,0,24,130,237,121,0,0Å`10%,0,0,0,24,123,221,177,0,0Å`10%,16,0,0,0,0,221,177,0,0Å`10%,16,81,115,149,182,216,140,65,0Å`10%,0,104,91,78,66,53,81,0
10Å`20%,0,66,194,219,244,146,171,0,10Å`20%,0,24,48,72,237,156,166,0,10Å`20%,0,0,0,188,154,119,85,23,10Å`20%,0,0,0,197,97,136,49,24,10Å`20%,8,0,0,265,0,0,0,55,10Å`20%,23,0,0,265,137,94,63,36,10Å`20%,0,33,149,266,261,155,0,0,10Å`20%,0,81,62,44,136,228,0,0,10Å`20%,0,0,0,149,164,155,0,0,10Å`20%,16,0,0,0,0,184,0,14,10Å`20%,16,0,79,149,219,173,0,38,10Å`20%,0,66,62,59,56,28,0,0
20Å`30%,0,123,309,369,429,244,14,0,20Å`30%,0,43,76,108,422,244,120,0,20Å`30%,0,42,115,189,368,278,97,64,20Å`30%,2,0,0,207,132,56,74,26,20Å`30%,11,0,275,537,151,52,0,24,20Å`30%,26,0,280,490,330,170,62,25,20Å`30%,0,25,258,491,353,215,0,39,20Å`30%,0,14,15,76,210,219,0,0,20Å`30%,0,0,0,274,206,144,0,0,20Å`30%,16,0,0,0,0,146,0,9,20Å`30%,16,0,141,277,255,131,0,11,20Å`30%,0,151,129,40,171,3,0,0
30Å`40%,0,179,541,903,677,424,8,156,30Å`40%,0,161,505,849,619,452,74,163,30Å`40%,0,81,527,844,615,194,109,105,30Å`40%,9,88,300,512,619,182,100,38,30Å`40%,14,41,233,714,310,205,0,39,30Å`40%,29,0,275,715,460,136,55,37,30Å`40%,0,16,172,716,369,220,0,67,30Å`40%,0,0,54,312,285,166,0,0,30Å`40%,0,0,0,400,248,134,0,0,30Å`40%,17,0,13,156,298,108,0,4,30Å`40%,16,0,203,405,292,88,0,130,30Å`40%,0,237,196,155,286,44,0,148
