3-2_(3É–-3É–)3É–RequirementTable_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,0,0,0,10,18,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,33,38,43,48,0,0,0Å`10%,0,0,71,87,102,118,0,0,0Å`10%,0,0,54,55,56,57,0,0,0Å`10%,0,0,47,74,101,128,0,0,0Å`10%,0,0,13,52,90,128,0,0,0Å`10%,0,0,63,56,98,140,0,0,0Å`10%,0,0,58,19,21,77,0,0,0Å`10%,0,0,46,34,55,76,0,0
10Å`20%,0,0,0,0,93,70,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,51,71,80,46,0,0,10Å`20%,0,0,63,80,97,114,0,0,10Å`20%,0,0,64,71,77,83,0,0,10Å`20%,0,0,55,79,103,127,0,0,10Å`20%,0,0,77,72,67,101,0,0,10Å`20%,0,0,78,75,72,69,7,0,10Å`20%,0,0,67,42,72,102,8,0,10Å`20%,0,0,40,74,121,88,0,0
20Å`30%,0,0,0,0,176,107,0,0,20Å`30%,0,0,0,0,0,73,0,0,20Å`30%,0,0,0,0,0,0,0,0,20Å`30%,0,0,0,0,0,0,0,0,20Å`30%,0,0,68,104,116,86,0,0,20Å`30%,0,0,55,73,91,109,0,0,20Å`30%,0,0,74,86,98,109,0,0,20Å`30%,0,0,62,84,106,127,93,22,20Å`30%,0,0,140,92,102,73,30,23,20Å`30%,34,6,141,93,87,38,28,19,20Å`30%,22,37,116,64,62,104,29,0,20Å`30%,0,0,78,113,186,101,0,0
30Å`40%,0,0,0,159,259,149,52,8,30Å`40%,0,0,0,162,249,147,0,0,30Å`40%,0,0,0,54,54,53,15,0,30Å`40%,0,0,0,0,0,56,66,0,30Å`40%,0,0,86,137,152,125,65,0,30Å`40%,0,0,66,93,120,78,0,0,30Å`40%,0,0,63,93,122,122,137,112,30Å`40%,62,90,0,183,159,171,137,95,30Å`40%,10,67,74,188,137,86,104,93,30Å`40%,27,39,112,190,103,51,95,78,30Å`40%,23,65,165,87,82,77,97,87,30Å`40%,0,0,94,152,252,148,98,38
40Å`50%,0,0,0,184,251,189,113,8,40Å`50%,0,0,0,137,253,110,62,0,40Å`50%,1,39,102,118,109,93,97,0,40Å`50%,0,0,104,134,121,108,72,3,40Å`50%,24,56,104,170,188,206,122,55,40Å`50%,27,71,77,142,148,129,98,42,40Å`50%,0,0,53,167,146,134,185,152,40Å`50%,25,102,0,282,213,144,177,145,40Å`50%,25,92,15,284,261,99,162,147,40Å`50%,61,93,83,286,161,73,144,119,40Å`50%,43,94,138,110,83,92,128,93,40Å`50%,42,71,53,168,260,189,113,94
50Å`60%,0,0,68,209,275,259,169,15,50Å`60%,0,0,19,179,257,151,110,15,50Å`60%,1,35,19,168,267,222,108,19,50Å`60%,0,0,80,116,267,219,114,50,50Å`60%,57,77,132,238,355,240,160,120,50Å`60%,60,100,89,239,345,169,130,128,50Å`60%,26,97,76,241,345,167,241,138,50Å`60%,70,114,0,246,336,166,218,148,50Å`60%,49,90,11,247,386,112,219,149,50Å`60%,202,199,86,238,390,107,193,150,50Å`60%,140,104,110,169,124,163,111,92,50Å`60%,142,136,77,184,285,284,152,117
60Å`70%,0,0,104,286,298,329,187,21,60Å`70%,0,0,67,221,218,126,127,20,60Å`70%,2,31,2,217,238,173,109,66,60Å`70%,0,0,57,155,229,204,156,108,60Å`70%,91,98,171,201,309,212,183,163,60Å`70%,93,130,100,193,276,178,296,166,60Å`70%,114,140,99,288,303,177,296,167,60Å`70%,114,121,0,211,281,176,297,274,60Å`70%,139,115,40,209,386,148,252,200,60Å`70%,269,251,97,239,381,149,166,63,60Å`70%,204,168,82,229,375,380,138,116,60Å`70%,206,212,101,244,310,379,216,140
70Å`80%,0,0,110,298,291,294,206,153,70Å`80%,0,0,91,263,178,154,135,116,70Å`80%,2,28,2,220,209,198,135,113,70Å`80%,0,0,33,194,191,188,218,166,70Å`80%,124,143,209,245,262,185,230,202,70Å`80%,126,144,203,227,276,185,339,414,70Å`80%,195,185,202,335,261,188,373,397,70Å`80%,196,182,0,233,243,252,370,399,70Å`80%,137,148,70,227,386,257,285,251,70Å`80%,253,284,107,239,372,258,139,27,70Å`80%,235,202,55,213,269,269,257,122,70Å`80%,185,170,112,205,157,108,280,168
80Å`90%,55,108,117,311,284,258,189,186,80Å`90%,59,111,114,305,224,182,231,0,80Å`90%,3,24,112,222,211,223,228,188,80Å`90%,0,0,70,251,237,223,218,224,80Å`90%,158,132,306,309,267,225,233,242,80Å`90%,159,143,306,330,276,221,198,241,80Å`90%,207,195,304,477,247,153,197,241,80Å`90%,150,181,0,196,231,198,306,300,80Å`90%,151,189,10,193,295,200,227,193,80Å`90%,299,317,70,174,282,201,153,21,80Å`90%,265,236,71,198,227,151,167,195,80Å`90%,217,153,0,218,137,95,220,196
90Å`100%,0,0,0,213,236,258,86,0,90Å`100%,0,0,0,13,127,255,82,0,90Å`100%,0,0,83,125,167,254,252,151,90Å`100%,0,0,198,172,147,158,174,165,90Å`100%,191,121,197,421,289,157,236,282,90Å`100%,192,143,0,504,234,144,135,114,90Å`100%,220,161,0,505,233,143,135,115,90Å`100%,14,14,0,159,206,76,169,108,90Å`100%,14,94,0,158,205,82,170,135,90Å`100%,346,355,0,109,193,4,171,32,90Å`100%,347,356,34,232,186,98,34,31,90Å`100%,249,180,0,230,117,96,91,31
