3-2_ReductionFactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/5_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/6_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/7_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/8_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/9_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/10_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/11_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/12_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/1_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/2_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/3_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB
00:00Å`00:30,0.742,0.874,1,0,0.721,0,0.64,1,0.758,00:00Å`00:30,0.188,0,1,0,0,0,0.344,0.998,0.183,00:00Å`00:30,0.178,0,1,0,0.5,0,0.125,1,0.184,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,
00:30Å`01:00,0.828,0.874,1,0,0.733,0,0.679,0.98,0.758,00:30Å`01:00,0.28,0,1,0,0.038,0,0.393,0.998,0.194,00:30Å`01:00,0.149,0,1,0,0.5,0,0.256,1,0.184,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,
01:00Å`01:30,0.726,0.876,1,0,0.747,0,0.629,0.969,0.756,01:00Å`01:30,0.126,0,1,0,0.057,0,0.295,1,0.193,01:00Å`01:30,0.157,0,1,0,0.5,0,0.256,1,0.193,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,
01:30Å`02:00,0.723,0.813,1,0,0.67,0,0.652,0.925,0.757,01:30Å`02:00,0.112,0,1,0,0.058,0,0.197,1,0.18,01:30Å`02:00,0.171,0,1,0,0.5,0,0.25,1,0.182,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,
02:00Å`02:30,0.746,0.882,1,0,0.722,0,0.648,1,0.741,02:00Å`02:30,0.095,0,1,0,0.08,0,0.213,1,0.175,02:00Å`02:30,0.183,0,1,0,0.133,0,0.256,1,0.066,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,
02:30Å`03:00,0.843,0.885,1,0,0.703,0,0.646,1,0.727,02:30Å`03:00,0.125,0,1,0,0,0,0.164,1,0.173,02:30Å`03:00,0.188,0,1,0,0.133,0,0.263,1,0.058,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,
03:00Å`03:30,0.82,1,1,1,1,1,1,1,1,03:00Å`03:30,0.11,1,1,1,1,1,1,1,1,03:00Å`03:30,0.186,1,1,1,1,1,1,1,1,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,
03:30Å`04:00,0.807,1,1,1,1,1,1,1,1,03:30Å`04:00,0.132,1,1,1,1,1,1,1,1,03:30Å`04:00,0.183,1,1,1,1,1,1,1,1,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,
04:00Å`04:30,0.764,1,1,1,1,1,1,1,1,04:00Å`04:30,0.097,1,1,1,1,1,1,1,1,04:00Å`04:30,0.125,0,1,1,1,1,1,1,1,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,
04:30Å`05:00,0.808,1,1,1,1,1,1,1,1,04:30Å`05:00,0.155,0,1,1,1,1,1,1,1,04:30Å`05:00,0.125,0,0.25,1,1,1,1,1,1,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,
