Additional_Requirement_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/5_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/6_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/7_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/8_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/9_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/10_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/11_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/12_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/1_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/2_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/3_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB
00:00Å`00:30,234,363,1403,450,102,421,224,46,424,00:00Å`00:30,157,358,904,439,53,421,248,46,242,00:00Å`00:30,158,248,858,350,68,440,195,49,259,00:00Å`00:30,175,235,850,391,66,457,185,49,238,00:00Å`00:30,143,224,840,435,67,473,186,45,273,00:00Å`00:30,120,212,881,414,66,460,190,43,275,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,
00:30Å`01:00,234,363,1403,430,102,423,224,46,424,00:30Å`01:00,156,358,904,413,53,421,249,46,242,00:30Å`01:00,169,248,858,350,68,440,195,49,259,00:30Å`01:00,186,235,850,391,66,457,185,49,238,00:30Å`01:00,161,224,840,430,67,473,186,45,273,00:30Å`01:00,119,212,881,414,66,460,197,43,275,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,
01:00Å`01:30,229,363,1403,463,102,421,237,46,424,01:00Å`01:30,153,358,904,462,53,419,255,46,242,01:00Å`01:30,165,248,858,350,68,440,195,49,259,01:00Å`01:30,181,235,850,387,66,457,185,49,238,01:00Å`01:30,154,224,840,430,67,473,186,45,273,01:00Å`01:30,117,212,881,403,66,460,192,43,275,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,
01:30Å`02:00,228,364,1376,460,102,411,236,47,419,01:30Å`02:00,149,356,901,457,53,421,253,46,242,01:30Å`02:00,163,247,851,333,68,442,195,49,249,01:30Å`02:00,177,238,847,381,65,458,184,48,231,01:30Å`02:00,151,226,846,426,67,475,186,43,278,01:30Å`02:00,116,212,891,402,66,460,190,42,275,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,
02:00Å`02:30,228,372,1350,451,102,388,237,48,419,02:00Å`02:30,145,363,854,450,53,393,255,46,199,02:00Å`02:30,157,244,806,320,65,417,191,48,197,02:00Å`02:30,172,222,796,327,66,430,180,39,194,02:00Å`02:30,151,228,759,394,67,444,181,36,229,02:00Å`02:30,113,212,809,365,68,440,190,40,219,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,
02:30Å`03:00,205,324,1228,462,102,362,237,46,381,02:30Å`03:00,161,312,773,460,53,376,255,46,224,02:30Å`03:00,161,248,713,301,60,368,189,47,173,02:30Å`03:00,176,251,686,303,64,366,177,39,178,02:30Å`03:00,154,231,705,344,62,396,179,36,214,02:30Å`03:00,117,213,745,359,68,417,190,41,213,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,
03:00Å`03:30,184,396,657,487,95,343,260,47,322,03:00Å`03:30,186,378,496,481,52,360,264,49,229,03:00Å`03:30,178,249,445,310,56,322,194,50,151,03:00Å`03:30,193,250,546,296,63,326,181,44,164,03:00Å`03:30,160,292,715,313,54,290,192,42,211,03:00Å`03:30,131,275,739,287,71,430,202,42,208,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,
03:30Å`04:00,190,396,657,489,95,387,281,56,319,03:30Å`04:00,204,380,496,479,53,408,286,50,243,03:30Å`04:00,200,249,445,391,54,353,218,51,162,03:30Å`04:00,224,245,546,372,62,382,176,55,168,03:30Å`04:00,221,286,717,342,54,346,194,53,213,03:30Å`04:00,220,271,741,290,75,427,202,50,204,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,
04:00Å`04:30,222,397,657,474,92,420,292,88,302,04:00Å`04:30,218,379,496,459,59,433,292,69,261,04:00Å`04:30,222,244,445,391,61,417,259,71,255,04:00Å`04:30,232,310,535,379,60,464,169,77,218,04:00Å`04:30,233,303,716,353,52,422,194,62,227,04:00Å`04:30,242,291,741,285,76,440,202,56,219,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,
04:30Å`05:00,223,410,657,473,91,421,290,89,297,04:30Å`05:00,219,390,496,454,62,434,291,71,265,04:30Å`05:00,225,240,445,416,61,427,259,73,261,04:30Å`05:00,228,317,546,404,60,489,168,77,231,04:30Å`05:00,235,301,717,352,52,421,194,67,228,04:30Å`05:00,245,292,741,293,80,447,198,58,219,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,
