Compound_Requirement_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/5_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/6_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/7_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/8_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/9_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/10_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/11_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/12_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/1_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/2_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/3_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB
00:00Å`00:30,251,451,1067,466,103,602,259,87,350,00:00Å`00:30,245,448,1128,467,86,604,240,86,311,00:00Å`00:30,233,432,1183,463,90,625,220,86,321,00:00Å`00:30,211,414,1299,457,95,616,228,86,344,00:00Å`00:30,199,394,1302,477,96,634,248,87,367,00:00Å`00:30,213,411,1255,457,93,624,261,93,354,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,,00:00Å`00:30,,,,,,,,,
00:30Å`01:00,251,451,1067,466,103,600,259,87,350,00:30Å`01:00,246,448,1128,467,86,604,240,86,311,00:30Å`01:00,234,432,1183,463,90,625,220,86,321,00:30Å`01:00,213,414,1299,457,95,616,228,86,344,00:30Å`01:00,202,394,1302,477,96,634,248,87,367,00:30Å`01:00,214,411,1255,457,93,624,254,93,354,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,,00:30Å`01:00,,,,,,,,,
01:00Å`01:30,256,451,1067,466,103,602,259,87,350,01:00Å`01:30,249,448,1128,467,86,608,240,86,311,01:00Å`01:30,237,432,1183,463,90,625,220,86,321,01:00Å`01:30,216,414,1299,457,95,616,228,86,344,01:00Å`01:30,206,394,1302,477,96,634,248,87,367,01:00Å`01:30,216,411,1255,457,93,624,259,93,354,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,,01:00Å`01:30,,,,,,,,,
01:30Å`02:00,257,445,1053,464,103,602,259,86,350,01:30Å`02:00,250,445,1112,464,86,606,240,86,311,01:30Å`02:00,237,431,1173,459,90,617,220,86,319,01:30Å`02:00,219,408,1291,454,95,607,227,86,340,01:30Å`02:00,209,392,1289,474,95,623,248,87,360,01:30Å`02:00,216,411,1238,457,93,617,261,93,351,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,,01:30Å`02:00,,,,,,,,,
02:00Å`02:30,257,436,1017,455,103,585,259,85,350,02:00Å`02:30,248,437,1074,453,86,585,240,85,310,02:00Å`02:30,236,424,1139,441,90,589,218,84,313,02:00Å`02:30,216,401,1253,439,93,576,220,84,329,02:00Å`02:30,209,390,1249,459,93,598,247,86,344,02:00Å`02:30,215,411,1194,447,91,598,261,93,340,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,,02:00Å`02:30,,,,,,,,,
02:30Å`03:00,257,427,986,445,103,578,259,87,348,02:30Å`03:00,243,431,1037,445,86,572,240,84,305,02:30Å`03:00,232,420,1106,428,90,565,218,84,304,02:30Å`03:00,212,397,1210,432,91,547,216,84,318,02:30Å`03:00,209,387,1213,455,92,577,244,86,331,02:30Å`03:00,216,410,1165,445,91,577,261,93,330,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,,02:30Å`03:00,,,,,,,,,
03:00Å`03:30,263,412,944,437,103,581,260,91,342,03:00Å`03:30,251,423,975,440,91,569,253,83,308,03:00Å`03:30,239,412,1040,415,93,544,225,83,302,03:00Å`03:30,218,390,1136,427,91,524,223,84,315,03:00Å`03:30,211,384,1155,447,93,559,249,83,330,03:00Å`03:30,219,409,1124,444,93,564,259,95,330,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,,03:00Å`03:30,,,,,,,,,
03:30Å`04:00,268,412,944,440,103,581,267,90,345,03:30Å`04:00,264,421,975,448,93,565,261,82,318,03:30Å`04:00,254,412,1040,419,96,539,233,82,306,03:30Å`04:00,229,395,1136,437,92,515,226,83,314,03:30Å`04:00,214,390,1155,458,93,552,251,83,326,03:30Å`04:00,217,413,1124,453,94,567,259,94,332,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,,03:30Å`04:00,,,,,,,,,
04:00Å`04:30,281,411,944,455,106,581,282,94,362,04:00Å`04:30,289,422,975,468,99,577,279,89,338,04:00Å`04:30,278,417,1040,439,100,544,253,88,327,04:00Å`04:30,249,406,1136,451,94,525,235,87,324,04:00Å`04:30,223,409,1155,459,95,566,251,83,330,04:00Å`04:30,218,427,1124,450,96,586,259,94,336,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,,04:00Å`04:30,,,,,,,,,
04:30Å`05:00,282,412,944,456,107,584,284,94,367,04:30Å`05:00,296,424,975,473,99,581,281,90,342,04:30Å`05:00,283,421,1040,444,100,544,261,89,332,04:30Å`05:00,254,415,1136,458,94,525,236,88,325,04:30Å`05:00,225,417,1155,463,95,571,251,83,331,04:30Å`05:00,219,432,1124,453,96,592,259,95,338,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,,04:30Å`05:00,,,,,,,,,
